Accuracy,Sigma,FeatureMask
0.831933,0.071349,0.051119 0.473347 0.744722 0.630807 0.224809 0.260161 0.348433 0.374398 0.558437 0.924869 0.666840 0.556135 0.860733 0.697866 0.350299 0.785766 0.496900 0.761430 0.386549 0.418261 0.163667 0.611719 0.246696 0.505664 0.372072 0.289385 0.492463 0.526286 0.501621 0.507973 0.269112 0.532307 0.842822 0.637394 0.196533 0.665502 0.399409 0.463703 0.532900 0.612611 0.337564 0.160882 0.429754 0.545275 0.530061 0.682251 0.354013 0.477725 0.471089 0.593272 0.617871 0.868372 0.270374 0.406118 0.825263 0.337398 0.685943 0.751978 0.207672 0.700101 0.401390 0.388579 0.520119 0.626201 0.511233 0.417866 0.686098 0.455560 0.364136 0.507158 0.450314 0.422170 0.540754 0.309248 0.438173 0.501449 0.902010 0.605819 0.181191 0.307844 0.411994 0.174149 0.348998 0.687714 0.676781 0.580219 0.877237 0.624068 0.552620 0.512243 0.575210 0.455658 0.401797 0.677726 0.397012 
0.830252,0.071403,0.050774 0.473907 0.744854 0.631383 0.228647 0.260425 0.348447 0.371528 0.558415 0.924866 0.667728 0.555846 0.855463 0.670764 0.349066 0.785260 0.494668 0.759630 0.378265 0.418786 0.164236 0.606924 0.246680 0.505795 0.374759 0.289605 0.490691 0.526178 0.501625 0.511723 0.264481 0.533053 0.848936 0.636634 0.214487 0.665695 0.395662 0.462776 0.531514 0.612729 0.338066 0.160274 0.429830 0.545625 0.532183 0.680345 0.355122 0.480565 0.471100 0.589276 0.617861 0.868365 0.269834 0.406306 0.825272 0.337395 0.685731 0.750253 0.207414 0.689998 0.401861 0.387636 0.519882 0.626781 0.511811 0.416859 0.687433 0.455730 0.364658 0.507166 0.451358 0.421837 0.543400 0.309235 0.438260 0.502761 0.902855 0.605991 0.161426 0.306277 0.411957 0.181898 0.343271 0.686821 0.676799 0.579718 0.877825 0.626080 0.553365 0.511983 0.572758 0.455610 0.400818 0.677404 0.426805 
0.830252,0.071437,0.051899 0.472987 0.745217 0.632113 0.183762 0.261289 0.348727 0.367497 0.556807 0.924741 0.671040 0.555466 0.854105 0.648368 0.346445 0.783005 0.492696 0.754324 0.338396 0.422537 0.164015 0.589688 0.246773 0.503296 0.375973 0.295565 0.483346 0.525990 0.501633 0.501553 0.261016 0.534076 0.859019 0.636383 0.217435 0.665750 0.393687 0.461970 0.531068 0.613519 0.342009 0.158355 0.422646 0.547159 0.533127 0.678107 0.351660 0.485036 0.471133 0.573549 0.622141 0.868307 0.263862 0.405430 0.825309 0.337395 0.685163 0.746328 0.200578 0.681387 0.402304 0.386426 0.519543 0.628149 0.512881 0.415632 0.693832 0.456139 0.364867 0.507686 0.457461 0.420930 0.549237 0.309309 0.439106 0.505066 0.903222 0.605910 0.133777 0.300674 0.411324 0.202996 0.325772 0.683721 0.676848 0.594773 0.878123 0.632461 0.554525 0.504988 0.565379 0.455675 0.395312 0.678057 0.440620 
0.830252,0.071332,0.050715 0.474160 0.744686 0.630449 0.241710 0.259807 0.348384 0.375387 0.558557 0.924877 0.666193 0.555968 0.861115 0.705897 0.350513 0.786987 0.495464 0.761525 0.399225 0.417975 0.164565 0.622658 0.246582 0.506257 0.371619 0.289348 0.493424 0.526413 0.501609 0.512863 0.269172 0.531553 0.834951 0.637634 0.196331 0.665695 0.399758 0.463772 0.532966 0.612522 0.336897 0.161336 0.437511 0.545248 0.530068 0.685125 0.355474 0.477402 0.471065 0.599468 0.617780 0.868375 0.270218 0.406571 0.825258 0.337395 0.686218 0.751834 0.208977 0.692646 0.401398 0.388916 0.520227 0.625842 0.510814 0.418683 0.685008 0.455662 0.363919 0.507099 0.449785 0.422369 0.539935 0.309213 0.437959 0.501345 0.901973 0.606041 0.181695 0.308036 0.412204 0.170120 0.354198 0.687882 0.676768 0.562543 0.876947 0.623942 0.552102 0.512805 0.577338 0.455601 0.402742 0.676928 0.392224 
0.830252,0.071418,0.050876 0.473709 0.744881 0.631512 0.191543 0.260583 0.348613 0.371222 0.558302 0.924872 0.668272 0.555815 0.855715 0.656986 0.349731 0.784149 0.494512 0.754410 0.379258 0.418969 0.164045 0.596329 0.246749 0.504907 0.375810 0.289363 0.489387 0.526243 0.501631 0.508890 0.263896 0.533955 0.851503 0.636484 0.214795 0.665695 0.395267 0.463722 0.531165 0.612792 0.339530 0.160220 0.425297 0.545631 0.532051 0.678574 0.354828 0.481327 0.471099 0.589448 0.617947 0.868343 0.269942 0.406538 0.825273 0.337395 0.685617 0.749738 0.206668 0.689887 0.401534 0.386507 0.520084 0.626447 0.511671 0.416510 0.688211 0.455713 0.364614 0.507201 0.450490 0.421829 0.544504 0.309230 0.438400 0.502198 0.902911 0.605985 0.154601 0.301030 0.412164 0.185122 0.345255 0.687308 0.676796 0.585276 0.877975 0.626633 0.553384 0.508342 0.569883 0.455615 0.401943 0.677882 0.421603 
0.830252,0.071377,0.051149 0.473795 0.744772 0.631959 0.241646 0.260355 0.348588 0.370186 0.557587 0.924841 0.666659 0.555525 0.855143 0.663202 0.348287 0.783982 0.495418 0.760805 0.372285 0.419045 0.164546 0.613625 0.246645 0.505945 0.372446 0.294032 0.491034 0.526000 0.501616 0.512599 0.264508 0.532663 0.857772 0.636457 0.214527 0.665695 0.395656 0.462080 0.532391 0.612797 0.339909 0.159431 0.426499 0.546462 0.532349 0.682559 0.354093 0.484144 0.471107 0.574911 0.617786 0.868357 0.266982 0.405945 0.825302 0.337395 0.686012 0.748524 0.205157 0.691824 0.402245 0.388511 0.519577 0.628116 0.512185 0.415959 0.690819 0.456120 0.364815 0.507260 0.455063 0.421780 0.541048 0.309301 0.437998 0.504444 0.903055 0.605995 0.138761 0.306587 0.411869 0.176249 0.329699 0.684061 0.676833 0.593884 0.877763 0.628895 0.553619 0.512684 0.576720 0.455606 0.399409 0.677781 0.437053 
0.830252,0.071414,0.051115 0.472937 0.743826 0.644432 0.210035 0.260641 0.348873 0.371392 0.561823 0.924895 0.684411 0.555985 0.857713 0.607944 0.348607 0.782595 0.487201 0.749562 0.380366 0.419543 0.156546 0.597786 0.246305 0.503342 0.373919 0.308685 0.484388 0.525287 0.501635 0.507101 0.264912 0.530623 0.857841 0.636545 0.195182 0.663062 0.385719 0.462060 0.530992 0.613392 0.339740 0.158707 0.424224 0.545467 0.531282 0.683134 0.351486 0.510067 0.471481 0.558147 0.617295 0.867683 0.249238 0.409869 0.824894 0.337398 0.684253 0.754163 0.207166 0.692478 0.401507 0.387548 0.518089 0.627065 0.511793 0.413249 0.688293 0.455198 0.364193 0.507124 0.452841 0.421785 0.538000 0.309586 0.439102 0.506291 0.903608 0.605586 0.151917 0.304777 0.409701 0.168327 0.336149 0.686336 0.677623 0.588539 0.878198 0.626774 0.554484 0.507342 0.572980 0.455663 0.400903 0.680123 0.406104 
0.830252,0.071351,0.051748 0.473493 0.745190 0.630972 0.204662 0.260203 0.348536 0.367823 0.557438 0.924812 0.667699 0.555908 0.857662 0.674811 0.346662 0.784599 0.492763 0.760117 0.374571 0.418348 0.164306 0.603309 0.246664 0.504580 0.375928 0.291260 0.483886 0.526064 0.501620 0.507894 0.263314 0.531589 0.853482 0.636592 0.210930 0.665710 0.397312 0.463682 0.532852 0.612988 0.338724 0.161231 0.431448 0.547041 0.532620 0.682945 0.353895 0.479265 0.471071 0.594614 0.621103 0.868309 0.265692 0.405822 0.825296 0.337395 0.685781 0.750902 0.203183 0.690273 0.401678 0.387219 0.520016 0.626328 0.512208 0.417841 0.692949 0.455724 0.364287 0.507290 0.456852 0.421457 0.545648 0.309297 0.438480 0.501983 0.902133 0.605914 0.173139 0.305267 0.412003 0.186655 0.349422 0.687213 0.676793 0.586266 0.877858 0.626500 0.553780 0.510882 0.570376 0.455605 0.398946 0.677919 0.427222 
0.830252,0.071337,0.050774 0.473290 0.743903 0.641319 0.224698 0.260208 0.348674 0.372489 0.561590 0.924884 0.671430 0.555983 0.858868 0.662937 0.350502 0.786046 0.487803 0.750232 0.381116 0.418622 0.159600 0.609197 0.246399 0.505605 0.372526 0.290975 0.486552 0.526002 0.501612 0.509350 0.267818 0.531137 0.836230 0.636809 0.195424 0.663926 0.390398 0.462730 0.532467 0.612700 0.339120 0.160947 0.430540 0.545455 0.530317 0.684952 0.354877 0.484466 0.471401 0.562353 0.617612 0.868309 0.266545 0.409775 0.825004 0.337396 0.684838 0.753415 0.207656 0.692515 0.401442 0.388145 0.520042 0.626561 0.511706 0.416614 0.686163 0.455378 0.364094 0.507119 0.451374 0.422223 0.539382 0.309301 0.438874 0.501555 0.903588 0.605948 0.164420 0.306489 0.411951 0.169513 0.337337 0.686586 0.677216 0.569850 0.877489 0.624561 0.554218 0.510281 0.574730 0.455618 0.401619 0.676995 0.400963 
0.830252,0.071352,0.051765 0.473394 0.745122 0.631016 0.222016 0.260220 0.348622 0.368113 0.557544 0.924792 0.667429 0.555903 0.857008 0.670690 0.346670 0.784703 0.493968 0.758625 0.369327 0.418803 0.164057 0.599302 0.246682 0.504255 0.374522 0.291262 0.487919 0.526114 0.501620 0.507993 0.266808 0.532347 0.852611 0.636767 0.212763 0.665699 0.397312 0.463665 0.532779 0.612986 0.337506 0.158747 0.426478 0.546672 0.532260 0.681152 0.354465 0.481218 0.471071 0.585836 0.620732 0.868329 0.265384 0.405853 0.825268 0.337395 0.685628 0.749415 0.203156 0.684848 0.401680 0.388564 0.519671 0.626699 0.510976 0.417795 0.692944 0.455714 0.364252 0.507618 0.455833 0.421457 0.544329 0.309251 0.438489 0.501615 0.902116 0.605931 0.167756 0.303764 0.411945 0.185880 0.343307 0.687124 0.676810 0.584703 0.877845 0.626622 0.553922 0.507222 0.574882 0.455631 0.398681 0.677952 0.412113 
